Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-10-01,SBIN,EQ,453.0,448.5,455.55,443.8,452.0,451.65,451.04,14777309,666510655620000.0,155872,4497093,0.3043
2021-10-04,SBIN,EQ,451.65,453.8,464.4,451.6,462.5,463.15,459.53,16246765,746581974915000.0,165717,6123342,0.3769
2021-10-05,SBIN,EQ,463.15,462.0,469.0,458.7,463.7,464.7,462.56,16487568,762653566860000.0,173621,6198603,0.376
2021-10-06,SBIN,EQ,464.7,465.0,471.0,453.65,456.85,457.2,462.34,19056690,881060927820000.1,212608,5674001,0.2977
2021-10-07,SBIN,EQ,457.2,462.1,464.0,457.1,458.8,457.9,460.4,9984651,459694503464999.94,125318,2461134,0.2465
2021-10-08,SBIN,EQ,457.9,461.9,464.0,454.25,460.05,458.0,458.23,16521128,757050602480000.0,203056,5292617,0.3204
2021-10-11,SBIN,EQ,458.0,460.0,474.95,458.65,470.0,469.25,467.63,20686981,967394145860000.0,216624,5870213,0.2838
2021-10-12,SBIN,EQ,469.25,470.0,484.4,468.1,483.0,483.0,477.21,33763609,1611247378315000.0,358816,10524930,0.31170000000000003
2021-10-13,SBIN,EQ,483.0,486.15,486.15,478.0,480.3,481.7,482.03,17638983,850256906460000.0,193982,6171965,0.34990000000000004
2021-10-14,SBIN,EQ,481.7,482.0,493.9,482.0,489.0,490.6,489.36,23431826,1146670042040000.0,285093,9203608,0.39280000000000004
2021-10-18,SBIN,EQ,490.6,494.0,501.0,491.7,496.95,497.95,496.52,20084248,997224813100000.0,242361,6957051,0.3464
2021-10-19,SBIN,EQ,497.95,500.35,504.2,483.25,488.7,488.2,496.47,20645100,1024960394075000.0,222035,6902634,0.3343
2021-10-20,SBIN,EQ,488.2,488.8,507.5,483.1,501.2,499.9,499.79,34080545,1703327363745000.0,330756,9918562,0.29100000000000004
2021-10-21,SBIN,EQ,499.9,504.9,506.5,491.75,504.45,502.95,500.34,20808243,1041125799150000.0,237992,5557708,0.2671
2021-10-22,SBIN,EQ,502.95,504.6,508.7,500.0,502.5,502.95,504.16,24080485,1214035694925000.0,226890,9118838,0.3787
