,SYMBOL
0,MINDACORP
1,ASAHIINDIA
2,TRITURBINE
3,MCDOWELL-N
4,TTKPRESTIG
5,UJJIVAN
6,ABB
7,GNFC
8,BLUEDART
9,VBL
10,CANBK
11,VTL
12,BIRLACORPN
13,GLAXO
14,HIKAL
15,SOBHA
16,TIMKEN
17,CHAMBLFERT
18,INDIGO
19,AMBUJACEM
20,GUJGASLTD
21,LTTS
22,JKCEMENT
23,CCL
24,TVSMOTOR
25,LUXIND
26,ULTRACEMCO
27,BLUESTARCO
28,INDUSINDBK
29,ACC
30,GSPL
31,EMAMILTD
32,RAMCOCEM
33,SWSOLAR
34,CROMPTON
35,ASIANPAINT
36,FLUOROCHEM
37,ASTRAL
38,JKLAKSHMI
39,GRINDWELL
40,GESHIP
41,HATSUN
42,DELTACORP
43,SHREECEM
44,ORIENTELEC
45,LTI
46,SAIL
47,BIOCON
48,VGUARD
49,SONATSOFTW
50,VOLTAS
51,MARUTI
52,AJANTPHARM
53,CUMMINSIND
54,ABFRL
55,DIVISLAB
56,LEMONTREE
57,SCHAEFFLER
58,CENTURYPLY
59,SKFINDIA
60,MINDTREE
61,LAOPALA
62,INDOCO
63,VIPIND
64,ZENSARTECH
65,SUNTV
66,TIINDIA
67,CGCL
68,NAUKRI
69,DALBHARAT
70,SHILPAMED
71,ENDURANCE
72,SEQUENT
73,INTELLECT
74,CHALET
75,INDIACEM
76,GUJALKALI
77,MIDHANI
78,PAGEIND
79,BOSCHLTD
80,BSOFT
81,PERSISTENT
82,SIEMENS
83,APLAPOLLO
84,CERA
85,APLLTD
86,PRINCEPIPE
87,DRREDDY
88,GRASIM
89,DIXON
90,BERGEPAINT
91,BRIGADE
92,DABUR
93,JSL
94,LALPATHLAB
95,SANOFI
96,MOTILALOFS
97,WABCOINDIA
98,OBEROIRLTY
99,LICHSGFIN
100,METROPOLIS
101,MPHASIS
102,BHARTIARTL
103,TCIEXP
104,WESTLIFE
105,OIL
106,FINCABLES
107,NMDC
108,MARICO
109,TATACONSUM
110,POLYMED
111,HCLTECH
112,PIDILITIND
113,IBREALEST
114,SCHNEIDER
115,IIFLWAM
116,PFIZER
117,ALKEM
118,PRSMJOHNSN
119,GARFIBRES
120,TATAELXSI
121,FSL
122,AIAENG
123,APOLLOHOSP
124,GAEL
125,TATASTEEL
126,LUPIN
127,CENTURYTEX
128,POLYCAB
129,ELGIEQUIP
130,NHPC
131,UFLEX
132,MFSL
133,THERMAX
134,GSFC
135,M&MFIN
136,SUNTECK
137,GPPL
138,GLENMARK
139,JKPAPER
140,GREAVESCOT
141,JYOTHYLAB
142,GODREJIND
143,MINDAIND
144,EXIDEIND
145,GODREJCP
146,ADVENZYMES
147,PHOENIXLTD
148,ASTRAZEN
149,LAXMIMACH
150,UPL
151,BALKRISIND
152,TORNTPOWER
153,NETWORK18
154,BEML
155,DCMSHRIRAM
156,IGL
157,JUBLFOOD
158,HEIDELBERG
159,BAJAJHLDNG
160,ICICIGI
161,INOXLEISUR
162,STAR
163,MGL
164,KNRCON
165,APOLLOTYRE
166,BHARATFORG
167,ASHOKLEY
168,GILLETTE
169,SBIN
170,MCX
171,VINATIORGA
172,ICICIPRULI
173,JAMNAAUTO
174,SRF
175,EIHOTEL
176,UBL
177,KSB
178,BAYERCROP
179,DCBBANK
180,ERIS
181,UTIAMC
182,BATAINDIA
183,IDFC
184,HAL
185,IEX
186,JSLHISAR
187,ISEC
188,AMARAJABAT
189,ALOKINDS
190,HAVELLS
191,CIPLA
192,FACT
193,BHEL
194,RELAXO
195,IOC
196,STARCEMENT
197,PGHH
198,ESCORTS
199,RALLIS
200,RAJESHEXPO
201,GODREJPROP
202,SUZLON
203,INFIBEAM
204,PETRONET
205,NATCOPHARM
206,HDFCLIFE
207,LT
208,BAJAJCON
209,TEAMLEASE
210,NLCINDIA
211,DMART
212,SUNDARMFIN
213,MAXHEALTH
214,TCS
215,DHANUKA
216,ALEMBICLTD
217,COFORGE
218,SUNPHARMA
219,INFY
220,AVANTIFEED
221,TRIDENT
222,LINDEINDIA
223,ITI
224,KPRMILL
225,CASTROLIND
226,BRITANNIA
227,SFL
228,GRANULES
229,RITES
230,INDHOTEL
231,SPANDANA
232,EDELWEISS
233,JCHAC
234,JBCHEPHARM
235,SCI
236,SUNDRMFAST
237,BBTC
238,VMART
239,SJVN
240,SUPREMEIND
241,HEROMOTOCO
242,SBILIFE
243,INDIAMART
244,FDC
245,ROUTE
246,JSWSTEEL
247,SYNGENE
248,ABCAPITAL
249,NESCO
250,HDFC
251,KSCL
252,AUROPHARMA
253,BSE
254,BANKBARODA
255,BHARATRAS
256,COCHINSHIP
257,AAVAS
258,NFL
259,EPL
260,RECLTD
261,CAMS
262,TATAPOWER
263,GODREJAGRO
264,MOIL
265,EICHERMOT
266,GAIL
267,VAKRANGEE
268,TATACOFFEE
269,EIDPARRY
270,HINDUNILVR
271,PRESTIGE
272,PIIND
273,ABBOTINDIA
274,CHOLAHLDNG
275,COLPAL
276,HUDCO
277,SOLARINDS
278,POLYPLEX
279,CRISIL
280,RCF
281,MAZDOCK
282,POWERGRID
283,CONCOR
284,BDL
285,IDBI
286,CADILAHC
287,BALRAMCHIN
288,NESTLEIND
289,CYIENT
290,PFC
291,SHARDACROP
292,WELSPUNIND
293,MASTEK
294,FINPIPE
295,WELCORP
296,UJJIVANSFB
297,TRENT
298,RADICO
299,HINDALCO
300,PVR
301,TV18BRDCST
302,DLF
303,MRF
304,L&TFH
305,PGHL
306,CREDITACC
307,BAJAJ-AUTO
308,ASTERDM
309,ENGINERSIN
310,WOCKPHARMA
311,NAM-INDIA
312,HEMIPROP
313,WIPRO
314,TITAN
315,VARROC
316,ZEEL
317,SHRIRAMCIT
318,IOLCP
319,HONAUT
320,GALAXYSURF
321,PEL
322,BPCL
323,TORNTPHARM
324,SUPRAJIT
325,3MINDIA
326,SPICEJET
327,BANKINDIA
328,GICRE
329,HINDZINC
330,MUTHOOTFIN
331,KRBL
332,COALINDIA
333,BASF
334,THYROCARE
335,GMMPFAUDLR
336,AARTIIND
337,NOCIL
338,MHRIL
339,TECHM
340,CHOLAFIN
341,KANSAINER
342,M&M
343,UCOBANK
344,NH
345,MAHINDCIE
346,BEL
347,KEI
348,NAVINFLUOR
349,HDFCBANK
350,COROMANDEL
351,PNCINFRA
352,IDEA
353,IPCALAB
354,HDFCAMC
355,OFSS
356,YESBANK
357,CANFINHOME
358,ICICIBANK
359,SUDARSCHEM
360,GODFRYPHLP
361,FRETAIL
362,AEGISCHEM
363,UNIONBANK
364,JINDALSTEL
365,EQUITAS
366,NIACL
367,HEG
368,IOB
369,SUVENPHAR
370,KAJARIACER
371,JKTYRE
372,MMTC
373,CAPLIPOINT
374,CARBORUNIV
375,FEDERALBNK
376,CEATLTD
377,SYMPHONY
378,CSBBANK
379,RVNL
380,IBULHSGFIN
381,INGERRAND
382,RATNAMANI
383,CESC
384,RAIN
385,NBCC
386,ITC
387,VENKEYS
388,SPARC
389,AUBANK
390,FINEORG
391,BAJAJFINSV
392,KPITTECH
393,NILKAMAL
394,IDFCFIRSTB
395,JINDALSAW
396,SUMICHEM
397,REDINGTON
398,SIS
399,NCC
400,PHILIPCARB
401,TATAMOTORS
402,RELIANCE
403,BAJAJELEC
404,WHIRLPOOL
405,MAHLOG
406,ANGELBRKG
407,SBICARD
408,IFBIND
409,MRPL
410,JMFINANCIL
411,TCNSBRANDS
412,MAHABANK
413,QUESS
414,NATIONALUM
415,MANAPPURAM
416,STLTECH
417,DHANI
418,IRCON
419,GRAPHITE
420,BAJFINANCE
421,DBL
422,TATAMTRDVR
423,FORTIS
424,ASHOKA
425,BANDHANBNK
426,TASTYBITE
427,HINDCOPPER
428,ALKYLAMINE
429,ADANIPORTS
430,KOTAKBANK
431,KARURVYSYA
432,ONGC
433,SOLARA
434,HINDPETRO
435,JUSTDIAL
436,NTPC
437,SRTRANSFIN
438,KALPATPOWR
439,ADANIENT
440,ATUL
441,DEEPAKNTR
442,TATACOMM
443,ROSSARI
444,EQUITASBNK
445,POWERINDIA
446,ZYDUSWELL
447,CUB
448,INDIANB
449,CENTRALBK
450,VALIANTORG
451,PNB
452,AARTIDRUGS
453,VEDL
454,AMBER
455,TATACHEM
456,KEC
457,AXISBANK
458,ICIL
459,LAURUSLABS
460,RBLBANK
461,BALAMINES
462,IRB
463,VAIBHAVGBL
464,IRCTC
